user_id,session_id,device_type,click_events,scroll_events,touch_events,keyboard_events,device_motion,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,geolocation_city,transaction_amount,transaction_date,mouse_movement,label
user_459,session_32,Mobile,5,7,8,7,0.66,99,1366x768,Edge,hindi,-330,portrait,Bangalore,3463.85,2024-05-28 00:00:00,0,0
user_313,session_33,PC,10,12,0,14,0.0,17,1366x768,Chrome,english,480,portrait,Bangalore,931.53,2024-02-04 12:00:00,49,0
user_21,session_34,Mobile,34,8,10,4,3.76,78,1440x900,Chrome,foreign,60,landscape,Unknown,17604.789812813768,2024-09-24 03:00:00,1408,1
user_252,session_35,PC,9,17,0,12,0.0,210,1920x1080,Firefox,hindi,330,none,Unknown,412.04,2024-08-01 05:00:00,562,0
user_235,session_36,PC,9,11,0,17,0.0,34,1920x1080,Chrome,foreign,-330,none,Indore,940.73,2025-05-10 01:00:00,79,0
user_344,session_37,Mobile,3,5,4,3,0.59,99,360x640,Safari,english,330,none,Kolkata,3225.7,2024-05-21 11:00:00,0,0
user_48,session_38,PC,8,3,0,22,0.0,18,1920x1080,Safari,english,0,landscape,Kolkata,3402.24,2024-03-09 20:00:00,63,0
user_474,session_39,PC,12,10,0,22,0.0,88,1440x900,Chrome,english,480,portrait,Unknown,243.56,2025-04-01 20:00:00,205,0
user_58,session_40,Mobile,8,9,5,7,1.91,36,1440x900,Firefox,english,0,landscape,Unknown,613.97,2025-05-26 07:00:00,0,0
user_169,session_41,PC,8,14,0,20,0.0,21,414x896,Chrome,foreign,330,portrait,Kolkata,624.13,2024-05-03 05:00:00,52,0
user_475,session_42,Mobile,1,7,7,4,1.9,33,1440x900,Safari,hindi,60,none,Delhi,516.73,2024-04-16 11:00:00,0,0
user_187,session_43,PC,10,9,0,12,0.0,17,1920x1080,Firefox,foreign,-330,landscape,Bangalore,802.14,2024-09-11 06:00:00,52,0
user_463,session_44,PC,10,12,0,13,0.0,208,360x640,Chrome,english,-330,none,Mumbai,941.69,2025-01-21 00:00:00,503,0
user_270,session_45,Mobile,4,7,8,4,1.32,45,414x896,Safari,hindi,60,portrait,Indore,1129.37,2024-03-11 19:00:00,0,0
user_189,session_46,PC,6,19,0,15,0.0,25,1920x1080,Firefox,foreign,330,portrait,Bangalore,65.05,2025-02-28 17:00:00,51,0
user_445,session_47,PC,7,10,0,23,0.0,53,360x640,Safari,hindi,330,landscape,Kolkata,398.83,2025-03-12 01:00:00,130,0
user_174,session_48,PC,3,11,0,16,0.0,34,1920x1080,Edge,hindi,-330,none,Delhi,1556.42,2024-04-24 01:00:00,87,0
user_445,session_49,PC,6,8,0,17,0.0,122,414x896,Safari,foreign,330,none,Bangalore,1636.41,2024-12-19 15:00:00,269,0
user_50,session_50,Mobile,5,3,7,3,1.83,319,1440x900,Edge,english,-330,portrait,Kolkata,1402.83,2024-08-08 08:00:00,0,0
user_363,session_51,PC,15,9,0,16,0.0,51,414x896,Firefox,english,-330,portrait,Unknown,345.55,2024-02-02 09:00:00,107,0
user_54,session_52,Mobile,4,10,5,8,1.83,177,1440x900,Firefox,hindi,0,landscape,Delhi,810.76,2024-05-12 02:00:00,0,0
user_243,session_53,Mobile,5,5,8,6,0.92,75,414x896,Edge,english,-330,landscape,Delhi,1116.87,2025-01-02 10:00:00,0,0
user_319,session_54,PC,7,8,0,13,0.0,15,1366x768,Edge,foreign,-330,landscape,Mumbai,285.18,2024-12-15 04:00:00,45,0
user_130,session_55,Mobile,8,4,7,4,0.9,105,1920x1080,Chrome,foreign,60,landscape,Indore,4635.72,2024-05-05 04:00:00,0,0
user_484,session_56,PC,3,12,0,16,0.0,64,1920x1080,Firefox,english,480,portrait,Unknown,1177.18,2025-06-28 18:00:00,189,0
user_306,session_57,Mobile,10,3,7,9,1.19,94,1366x768,Edge,english,0,landscape,Delhi,100.65,2024-11-06 04:00:00,0,0
user_134,session_58,PC,6,8,0,12,0.0,600,1440x900,Edge,english,330,none,Mumbai,18364.08411816827,2024-12-03 16:00:00,508,1
user_20,session_59,Mobile,4,5,6,7,1.46,52,1920x1080,Firefox,hindi,330,portrait,Indore,9533.3,2024-07-15 13:00:00,0,0
user_328,session_60,PC,6,8,0,15,0.0,208,1366x768,Chrome,hindi,330,landscape,Kolkata,239.76,2025-03-11 18:00:00,520,0
user_166,session_61,PC,11,13,0,14,0.0,125,1920x1080,Firefox,foreign,0,landscape,Bangalore,45.58,2024-03-11 22:00:00,297,0
user_273,session_62,Mobile,7,3,11,7,1.0,60,360x640,Chrome,foreign,0,portrait,Kolkata,1190.04,2025-01-07 06:00:00,0,0
user_387,session_63,Mobile,9,2,4,6,1.47,83,1440x900,Firefox,hindi,480,portrait,Bangalore,88.96,2024-12-03 03:00:00,0,0
user_88,session_64,PC,7,9,0,22,0.0,35,360x640,Firefox,foreign,60,none,Kolkata,133.58,2024-08-26 06:00:00,92,0
user_315,session_65,PC,13,18,0,15,0.0,369,1440x900,Safari,hindi,480,landscape,Unknown,1151.85,2024-08-15 00:00:00,913,0
user_13,session_66,Mobile,7,4,4,2,0.95,99,1366x768,Firefox,hindi,60,portrait,Delhi,4718.76,2024-05-06 23:00:00,0,0
user_241,session_67,Mobile,6,7,8,5,0.63,10,1440x900,Chrome,hindi,60,landscape,Delhi,124.08,2025-03-09 07:00:00,0,0
user_264,session_68,Mobile,3,3,8,3,0.9,35,1440x900,Edge,hindi,480,portrait,Indore,1213.95,2025-05-17 20:00:00,0,0
user_345,session_69,Mobile,2,10,11,4,1.09,87,1366x768,Chrome,foreign,60,landscape,Kolkata,1066.02,2024-03-07 12:00:00,0,0
user_52,session_70,Mobile,5,4,16,5,1.29,10,1440x900,Edge,foreign,60,portrait,Unknown,1433.33,2024-03-10 09:00:00,0,0
user_385,session_71,Mobile,3,5,6,5,0.53,10,1920x1080,Edge,english,60,none,Mumbai,3174.9,2025-04-24 07:00:00,0,0
user_339,session_72,PC,44,10,0,10,0.0,53,414x896,Chrome,hindi,330,none,Kolkata,960.53,2025-06-14 00:00:00,1539,1
user_91,session_73,PC,8,7,0,18,0.0,36,1366x768,Chrome,hindi,0,landscape,Unknown,1262.98,2025-01-14 11:00:00,89,0
user_366,session_74,Mobile,5,7,5,7,1.88,51,414x896,Safari,english,60,none,Kolkata,1288.89,2024-02-25 15:00:00,0,0
user_443,session_75,Mobile,2,12,6,5,1.18,27,1366x768,Chrome,english,60,portrait,Bangalore,226.66,2025-06-30 12:00:00,0,0
user_454,session_76,PC,5,7,0,17,0.0,16,1366x768,Chrome,english,-330,none,Unknown,433.12,2024-07-03 23:00:00,49,0
user_427,session_77,PC,42,15,0,20,0.0,105,360x640,Safari,english,0,landscape,Delhi,369.37,2024-09-20 14:00:00,1662,1
user_263,session_78,Mobile,6,7,7,8,0.97,65,360x640,Firefox,hindi,0,none,Mumbai,589.08,2024-05-19 21:00:00,0,0
user_430,session_79,Mobile,4,5,6,3,1.3,20,1440x900,Firefox,foreign,480,portrait,Indore,394.75,2024-12-31 13:00:00,0,0
user_34,session_80,PC,8,17,0,10,0.0,34,414x896,Safari,foreign,60,landscape,Delhi,626.92,2024-06-17 02:00:00,81,0
user_205,session_81,PC,8,7,0,12,0.0,80,1366x768,Safari,foreign,0,landscape,Delhi,1647.12,2024-02-16 12:00:00,208,0
user_80,session_82,PC,10,8,0,11,0.0,10,1440x900,Chrome,english,-330,portrait,Bangalore,529.63,2025-06-21 15:00:00,27,0
user_419,session_83,PC,5,6,0,20,0.0,14,1920x1080,Safari,hindi,0,landscape,Mumbai,1006.29,2024-07-01 18:00:00,41,0
user_49,session_84,PC,10,8,0,17,0.0,10,1366x768,Edge,foreign,60,portrait,Bangalore,3515.22,2024-09-29 00:00:00,24,0
user_359,session_85,PC,3,13,0,15,0.0,150,1920x1080,Safari,hindi,480,landscape,Kolkata,3668.8,2024-11-12 09:00:00,381,0
user_387,session_86,Mobile,2,2,4,8,1.37,125,1440x900,Safari,hindi,480,portrait,Mumbai,3351.34,2025-06-13 04:00:00,0,0
user_1,session_87,PC,8,12,0,22,0.0,125,360x640,Firefox,foreign,330,none,Unknown,807.44,2024-02-22 23:00:00,322,0
user_389,session_88,Mobile,6,9,9,3,1.24,113,1440x900,Safari,hindi,480,none,Unknown,1816.67,2024-04-30 05:00:00,0,0
user_53,session_89,Mobile,7,5,3,3,1.61,99,1920x1080,Chrome,english,-330,landscape,Delhi,528.34,2025-02-09 00:00:00,0,0
user_105,session_90,PC,8,17,0,22,0.0,58,1366x768,Chrome,hindi,480,portrait,Delhi,2021.92,2025-03-15 19:00:00,147,0
user_259,session_91,Mobile,4,8,8,6,1.01,92,414x896,Firefox,english,330,landscape,Mumbai,4723.92,2025-02-18 12:00:00,0,0
user_309,session_92,PC,8,14,0,10,0.0,10,1440x900,Chrome,hindi,0,landscape,Mumbai,2864.01,2024-05-06 05:00:00,20,0
user_476,session_93,Mobile,6,5,12,2,0.01,87,1366x768,Chrome,foreign,330,none,Indore,359.95,2024-04-07 11:00:00,0,0
user_190,session_94,PC,12,9,0,12,0.0,135,360x640,Chrome,english,0,portrait,Bangalore,1087.19,2024-08-06 07:00:00,342,0
user_401,session_95,Mobile,11,9,8,9,0.65,62,360x640,Chrome,hindi,330,landscape,Unknown,2873.55,2025-01-22 23:00:00,0,0
user_217,session_96,Mobile,8,9,9,2,1.7,39,360x640,Safari,hindi,-330,none,Mumbai,2503.45,2024-04-17 23:00:00,0,0
user_43,session_97,PC,5,10,0,24,0.0,29,1366x768,Firefox,foreign,480,portrait,Kolkata,620.45,2024-03-21 00:00:00,69,0
user_161,session_98,PC,7,9,0,15,0.0,92,1440x900,Edge,foreign,-330,landscape,Unknown,3973.1,2024-03-12 11:00:00,206,0
user_201,session_99,Mobile,5,4,7,8,1.07,106,1366x768,Chrome,english,-330,landscape,Kolkata,2735.47,2024-06-03 19:00:00,0,0
user_445,session_100,Mobile,3,8,7,6,1.69,184,1366x768,Edge,hindi,480,none,Delhi,79.49,2024-11-08 10:00:00,0,0
user_483,session_101,PC,6,17,0,15,0.0,37,414x896,Edge,hindi,-330,none,Bangalore,7373.38,2024-01-31 02:00:00,100,0
user_269,session_102,Mobile,2,10,9,5,1.29,132,414x896,Edge,hindi,60,portrait,Bangalore,1634.54,2025-03-15 07:00:00,0,0
user_350,session_103,PC,11,10,0,15,0.0,74,1440x900,Safari,foreign,-330,portrait,Bangalore,2268.01,2025-03-26 14:00:00,193,0
user_303,session_104,Mobile,0,4,12,6,1.21,192,414x896,Chrome,english,330,portrait,Delhi,370.24,2025-06-10 10:00:00,0,0
user_270,session_105,PC,13,14,0,14,0.0,67,360x640,Chrome,foreign,-330,landscape,Indore,7351.66,2024-02-13 15:00:00,166,0
user_455,session_106,Mobile,6,3,10,3,1.27,65,414x896,Edge,english,480,none,Kolkata,1192.72,2024-09-23 14:00:00,0,0
user_461,session_107,PC,3,11,0,10,0.0,77,360x640,Firefox,foreign,60,landscape,Unknown,1685.1,2025-01-11 14:00:00,206,0
user_214,session_108,PC,6,9,0,18,0.0,124,1440x900,Safari,english,480,landscape,Bangalore,993.25,2025-06-24 12:00:00,310,0
user_251,session_109,PC,11,19,0,10,0.0,300,1366x768,Edge,hindi,0,none,Mumbai,2836.77,2024-07-04 13:00:00,725,0
user_189,session_110,PC,8,15,0,11,0.0,10,1366x768,Safari,foreign,480,none,Bangalore,438.72,2024-06-27 16:00:00,22,0
user_295,session_111,Mobile,3,6,13,5,1.24,10,414x896,Chrome,hindi,-330,landscape,Delhi,177.49,2024-10-22 10:00:00,0,0
user_212,session_112,PC,12,13,0,14,0.0,249,360x640,Edge,hindi,0,portrait,Bangalore,1465.85,2024-09-16 05:00:00,632,0
user_207,session_113,Mobile,2,6,5,7,0.92,67,1920x1080,Safari,foreign,480,landscape,Kolkata,43.24,2024-01-11 16:00:00,0,0
user_236,session_114,PC,7,14,0,13,0.0,85,1920x1080,Firefox,foreign,60,none,Kolkata,60.83,2024-01-03 23:00:00,206,0
user_337,session_115,PC,10,8,0,18,0.0,59,1920x1080,Safari,english,0,landscape,Indore,357.36,2025-03-14 06:00:00,144,0
user_366,session_116,PC,8,15,0,17,0.0,10,1366x768,Chrome,hindi,330,landscape,Delhi,9.44,2025-01-12 06:00:00,21,0
user_52,session_117,PC,3,9,0,17,0.0,131,1366x768,Chrome,foreign,0,none,Delhi,112.97,2024-12-08 05:00:00,295,0
user_279,session_118,PC,6,18,0,6,0.0,123,360x640,Chrome,foreign,0,portrait,Kolkata,786.53,2024-11-23 08:00:00,299,0
user_409,session_119,PC,6,7,0,10,0.0,33,414x896,Firefox,foreign,-330,portrait,Indore,750.96,2025-04-04 16:00:00,82,0
user_216,session_120,PC,9,5,0,16,0.0,32,1920x1080,Safari,hindi,480,landscape,Bangalore,1270.99,2024-06-24 16:00:00,71,0
user_251,session_121,PC,8,9,0,7,0.0,163,360x640,Edge,foreign,0,none,Bangalore,448.02,2025-03-27 18:00:00,439,0
user_187,session_122,Mobile,3,6,5,9,1.37,10,360x640,Firefox,foreign,0,none,Kolkata,687.69,2024-02-04 19:00:00,0,0
user_379,session_123,Mobile,7,6,5,7,0.88,191,414x896,Chrome,english,0,portrait,Unknown,1944.4,2025-04-06 08:00:00,0,0
user_492,session_124,PC,4,14,0,15,0.0,26,360x640,Chrome,english,480,landscape,Delhi,407.42,2024-06-27 04:00:00,80,0
user_40,session_125,PC,6,9,0,17,0.0,80,414x896,Firefox,hindi,60,none,Indore,34.54,2024-06-02 12:00:00,218,0
user_156,session_126,Mobile,6,4,10,2,1.43,247,1440x900,Safari,hindi,480,none,Indore,336.92,2024-06-15 04:00:00,0,0
user_14,session_127,Mobile,5,4,7,6,0.61,102,414x896,Firefox,foreign,60,portrait,Indore,771.12,2024-02-24 03:00:00,0,0
user_300,session_128,Mobile,8,3,15,10,0.51,48,1920x1080,Edge,foreign,0,none,Bangalore,2958.89,2024-12-29 07:00:00,0,0
user_64,session_129,PC,9,8,0,11,0.0,105,1920x1080,Firefox,hindi,480,landscape,Unknown,1989.33,2024-03-18 07:00:00,286,0
user_344,session_130,Mobile,1,7,10,4,2.0,37,414x896,Edge,hindi,480,portrait,Indore,1517.69,2025-01-27 00:00:00,0,0
user_326,session_131,Mobile,1,6,10,3,1.13,29,1440x900,Chrome,english,480,landscape,Mumbai,628.69,2024-08-08 06:00:00,0,0
user_8,session_132,Mobile,0,5,7,7,1.76,513,1440x900,Edge,foreign,0,portrait,Delhi,1770.08,2024-09-09 22:00:00,0,0
user_343,session_133,Mobile,9,6,10,6,0.87,125,1920x1080,Chrome,foreign,0,landscape,Bangalore,1293.95,2024-09-29 21:00:00,0,0
user_128,session_134,PC,9,14,0,20,0.0,93,1440x900,Chrome,english,60,portrait,Kolkata,1783.09,2024-05-03 15:00:00,221,0
user_491,session_135,PC,9,8,0,20,0.0,39,360x640,Safari,foreign,60,none,Unknown,9801.72,2024-12-28 15:00:00,104,0
user_135,session_136,Mobile,5,9,8,6,1.29,10,1366x768,Edge,english,480,landscape,Kolkata,2411.05,2025-05-03 16:00:00,0,0
user_471,session_137,Mobile,6,1,15,1,0.88,10,360x640,Edge,english,330,landscape,Indore,915.48,2024-02-01 19:00:00,0,0
user_62,session_138,PC,6,15,0,15,0.0,72,1920x1080,Chrome,hindi,-330,landscape,Indore,4924.82,2024-11-22 15:00:00,187,0
user_138,session_139,PC,6,14,0,16,0.0,129,1440x900,Edge,hindi,0,landscape,Unknown,337.14,2024-03-10 11:00:00,314,0
user_498,session_140,PC,7,16,0,13,0.0,69,414x896,Firefox,hindi,-330,landscape,Delhi,1507.16,2024-12-28 12:00:00,196,0
user_80,session_141,PC,10,9,0,15,0.0,165,1366x768,Safari,hindi,-330,portrait,Mumbai,598.39,2024-08-16 07:00:00,415,0
user_391,session_142,Mobile,5,8,5,4,0.09,10,414x896,Firefox,english,-330,landscape,Kolkata,160.28,2024-08-10 06:00:00,0,0
user_162,session_143,Mobile,2,8,14,8,0.6,41,1920x1080,Safari,hindi,60,portrait,Bangalore,5599.9,2024-03-23 13:00:00,0,0
user_418,session_144,PC,6,15,0,14,0.0,24,1440x900,Chrome,foreign,0,none,Bangalore,1026.69,2024-12-23 13:00:00,57,0
user_288,session_145,PC,7,9,0,12,0.0,53,414x896,Safari,hindi,330,landscape,Bangalore,811.49,2024-10-06 22:00:00,138,0
user_378,session_146,PC,6,12,0,17,0.0,10,414x896,Chrome,foreign,330,landscape,Delhi,238.78,2025-02-15 20:00:00,21,0
user_260,session_147,PC,5,10,0,21,0.0,277,1366x768,Chrome,foreign,330,none,Indore,2290.58,2024-12-05 04:00:00,728,0
user_489,session_148,Mobile,2,7,9,2,0.02,22,1366x768,Edge,english,480,portrait,Mumbai,374.1,2024-11-23 04:00:00,0,0
user_230,session_149,Mobile,3,4,1,3,0.89,229,1440x900,Safari,english,0,none,Kolkata,860.46,2024-12-19 02:00:00,0,0
user_40,session_150,Mobile,2,5,11,6,1.95,49,1366x768,Chrome,hindi,60,portrait,Kolkata,952.31,2024-04-20 04:00:00,0,0
user_27,session_151,PC,30,7,0,9,0.0,381,414x896,Chrome,hindi,60,portrait,Indore,17383.91734418532,2025-03-24 03:00:00,1245,1
user_134,session_152,Mobile,2,6,8,5,0.59,72,414x896,Chrome,foreign,480,landscape,Mumbai,2280.01,2025-03-31 07:00:00,0,0
user_200,session_153,Mobile,6,5,7,1,0.56,240,1920x1080,Safari,hindi,60,portrait,Mumbai,2538.17,2024-12-17 08:00:00,0,0
user_327,session_154,Mobile,6,5,6,8,1.1,10,414x896,Edge,foreign,0,none,Delhi,4824.61,2025-01-23 03:00:00,0,0
user_267,session_155,PC,7,14,0,21,0.0,124,1440x900,Safari,english,480,landscape,Kolkata,1043.57,2024-09-06 03:00:00,321,0
user_417,session_156,PC,5,9,0,13,0.0,210,360x640,Firefox,foreign,330,portrait,Bangalore,757.36,2024-07-17 05:00:00,504,0
user_32,session_157,PC,6,6,0,13,0.0,13,1920x1080,Chrome,hindi,-330,portrait,Indore,667.51,2025-02-09 18:00:00,35,0
user_47,session_158,PC,7,16,0,12,0.0,10,1920x1080,Chrome,foreign,330,portrait,Indore,4279.7,2025-04-27 05:00:00,23,0
user_406,session_159,PC,5,9,0,11,0.0,49,1440x900,Safari,english,-330,none,Indore,2133.67,2025-04-23 09:00:00,150,0
user_61,session_160,PC,8,11,0,16,0.0,244,1440x900,Safari,foreign,0,landscape,Unknown,1085.75,2024-04-26 15:00:00,598,0
user_215,session_161,PC,7,16,0,13,0.0,70,1366x768,Safari,hindi,0,landscape,Delhi,1932.37,2024-09-02 07:00:00,195,0
user_292,session_162,Mobile,3,2,7,5,1.44,67,1920x1080,Chrome,english,0,none,Mumbai,872.78,2025-06-01 04:00:00,0,1
user_98,session_163,PC,7,13,0,16,0.0,13,1366x768,Safari,english,60,none,Bangalore,2208.33,2024-04-05 02:00:00,28,0
user_171,session_164,PC,7,19,0,17,0.0,10,414x896,Chrome,hindi,0,landscape,Delhi,3973.16,2024-06-23 15:00:00,26,0
user_359,session_165,Mobile,5,11,6,0,0.96,149,1920x1080,Safari,hindi,480,portrait,Indore,363.75,2024-02-13 11:00:00,0,0
user_213,session_166,Mobile,3,4,14,6,1.19,10,1920x1080,Edge,hindi,60,none,Delhi,690.18,2025-05-09 07:00:00,0,0
user_474,session_167,Mobile,5,6,11,2,1.13,90,360x640,Safari,hindi,60,portrait,Bangalore,1570.56,2024-03-01 21:00:00,0,0
user_34,session_168,Mobile,3,6,5,10,1.17,221,1920x1080,Safari,foreign,60,portrait,Kolkata,1103.12,2024-10-16 02:00:00,0,0
user_448,session_169,Mobile,8,3,5,7,1.46,21,414x896,Safari,english,60,landscape,Unknown,997.48,2024-12-27 05:00:00,0,0
user_226,session_170,Mobile,7,6,8,9,1.67,98,1366x768,Safari,foreign,330,portrait,Unknown,2731.71,2024-01-05 22:00:00,0,0
user_100,session_171,PC,5,13,0,14,0.0,10,1366x768,Edge,foreign,0,none,Indore,2078.33,2025-03-13 07:00:00,31,0
user_430,session_172,PC,11,13,0,14,0.0,83,360x640,Chrome,hindi,330,landscape,Unknown,1115.37,2024-07-20 02:00:00,179,0
user_461,session_173,PC,7,18,0,17,0.0,16,414x896,Firefox,hindi,480,portrait,Unknown,423.15,2024-03-18 11:00:00,40,0
user_130,session_174,PC,11,22,0,15,0.0,119,1366x768,Safari,foreign,480,landscape,Unknown,2242.78,2025-02-11 21:00:00,299,0
user_256,session_175,PC,10,19,0,21,0.0,32,1440x900,Firefox,foreign,330,portrait,Mumbai,865.17,2025-03-27 19:00:00,86,0
user_4,session_176,Mobile,2,8,8,3,1.01,56,414x896,Chrome,hindi,480,none,Kolkata,3804.78,2024-05-13 14:00:00,0,0
user_217,session_177,Mobile,2,10,8,7,1.31,82,414x896,Firefox,english,330,none,Mumbai,4.44,2025-02-20 12:00:00,0,0
user_254,session_178,Mobile,1,6,9,4,0.84,16,360x640,Edge,foreign,60,landscape,Unknown,1259.35,2024-06-25 23:00:00,0,0
user_397,session_179,PC,12,8,0,13,0.0,121,1366x768,Safari,english,60,none,Mumbai,1434.94,2024-04-13 17:00:00,295,0
user_358,session_180,Mobile,2,6,4,5,0.9,32,414x896,Edge,english,-330,none,Kolkata,222.09,2025-04-22 15:00:00,0,0
user_282,session_181,Mobile,5,4,6,5,1.74,97,1366x768,Safari,english,60,none,Indore,1058.92,2024-07-01 19:00:00,0,0
user_392,session_182,PC,0,9,0,16,0.0,15,1440x900,Edge,foreign,330,landscape,Unknown,6363.0317405161195,2025-02-24 03:00:00,38,1
user_206,session_183,Mobile,4,9,13,7,1.22,104,360x640,Safari,english,480,landscape,Bangalore,765.78,2025-06-29 05:00:00,0,0
user_14,session_184,PC,11,14,0,14,0.0,12,1440x900,Edge,hindi,330,landscape,Delhi,1694.65,2025-06-06 16:00:00,28,0
user_345,session_185,PC,3,15,0,17,0.0,49,360x640,Chrome,foreign,60,landscape,Mumbai,1721.28,2025-01-02 01:00:00,120,0
user_41,session_186,Mobile,4,6,7,3,1.34,25,414x896,Safari,english,-330,portrait,Unknown,980.01,2025-04-18 04:00:00,0,0
user_379,session_187,PC,5,10,0,14,0.0,124,360x640,Safari,foreign,330,landscape,Unknown,2640.88,2024-07-14 01:00:00,321,0
user_460,session_188,PC,8,13,0,11,0.0,27,1920x1080,Safari,hindi,330,portrait,Mumbai,1293.21,2025-03-29 21:00:00,63,0
user_178,session_189,Mobile,9,8,11,6,1.24,192,1366x768,Edge,foreign,60,portrait,Bangalore,1379.52,2024-03-07 04:00:00,0,0
user_62,session_190,Mobile,3,8,13,6,1.71,200,1366x768,Edge,hindi,0,none,Unknown,288.59,2025-04-11 02:00:00,0,0
user_351,session_191,PC,5,11,0,17,0.0,19,1920x1080,Edge,foreign,60,landscape,Bangalore,948.24,2025-02-23 23:00:00,60,0
user_230,session_192,PC,10,12,0,15,0.0,85,1440x900,Firefox,foreign,60,portrait,Mumbai,75.15,2024-08-01 06:00:00,209,0
